,baseMean,log2FoldChange,lfcSE,pvalue,padj
CADPS,21.18517342,2.909900317,0.666333229,0.001485735,0.006265557
PROK2,4.384817252,-2.179248013,0.483034353,6.18E-07,1.04E-05
LINC00870,35.40707165,1.005773953,0.365337876,0.000790458,0.00376932
GXYLT2,49.46607197,1.531893468,0.519482535,0.000173432,0.001086854
LOC102724949,3.681234907,-1.427930072,0.444617554,0.000159278,0.001015399
ROBO1,1472.819663,2.701497839,0.369239463,1.02E-14,1.78E-12
LOC105377177,29.0173043,3.537767903,1.190904546,3.49E-05,0.000294004
LINC02050,7.047371723,3.521346555,1.682487602,0.000469149,0.002454524
LOC105377174,4.330334016,4.634706601,1.714854241,0.002386154,0.009161956
LINC02027,51.30863459,-1.518090101,0.500579453,0.000316383,0.001773613
HTR1F,3.159357209,1.319108038,0.59868798,0.002527098,0.009622148
EPHA6,20.19309783,1.002596819,0.71667786,0.011978317,0.033873045
LOC105373999,1.960118718,5.615753451,2.82895689,0.002681454,0.010102074
ST3GAL6-AS1,11.72312319,-1.271493017,0.233736685,8.65E-09,2.99E-07
ST3GAL6,595.6173539,-1.065395433,0.223221122,4.08E-07,7.34E-06
COL8A1,187.0121335,1.662491119,0.455910834,1.43E-05,0.000140305
ADGRG7,226.7015996,-1.584359677,0.308161359,4.02E-08,1.09E-06
IMPG2,28.73963474,1.074066916,0.282861701,2.12E-05,0.000193035
ZPLD1,10.40830861,3.67537795,0.704120721,0.007495716,0.023225799
CIP2A,148.038914,1.767304406,0.285472573,3.75E-11,2.66E-09
C3orf85,55.96485014,-1.473489375,0.500831787,0.000430684,0.002287622
DPPA4,3.836963818,-1.075592102,0.650572339,0.013267328,0.03678495
LOC151760,7.27967887,1.306325692,0.382713417,0.008872989,0.026685969
SLC9C1,17.245395,1.350460147,0.590504263,0.001345043,0.005783041
CD200,36.09453426,2.170619852,0.324708854,1.34E-12,1.39E-10
LOC112268447,111.0441444,1.342153746,0.534992624,0.000760512,0.00364662
LINC01279,94.60895878,1.381132179,0.555821594,0.000755765,0.003629408
CCDC80,691.8624962,1.373927928,0.526569824,0.00055861,0.002832219
CD200R1L-AS1,5.539931259,5.09476473,1.289853156,4.46E-07,7.95E-06
CD200R1L,8.974029789,4.143725597,1.002351322,1.04E-06,1.61E-05
LOC107986113,9.782357577,1.437222549,0.370813468,9.94E-06,0.000104088
LOC105374051,2.084633522,1.212975986,1.231076096,0.013188621,0.036615277
GAP43,7.880046121,1.739207244,0.61630518,0.000239389,0.001412448
GSK3B-DT,21.51552089,1.018418753,0.278524372,4.14E-05,0.000339349
STXBP5L,3.948684587,4.740490169,0.977592975,2.92E-06,3.76E-05
POLQ,130.27653,3.363091746,0.415149393,1.38E-17,5.41E-15
LOC101927010,2.143345395,1.630837589,0.820462166,0.002892233,0.010741845
SEMA5B,24.81839749,1.278168456,0.403807112,0.000136308,0.000896993
MUC13,608.6369514,5.342740342,0.558342103,1.28E-23,2.15E-20
FAM86JP,20.17520311,1.969276169,0.395216805,3.42E-08,9.57E-07
ALG1L1P,48.71470521,2.116169996,0.363939503,2.84E-10,1.55E-08
ALDH1L1,3591.084956,-1.170927213,0.439861268,0.001184266,0.005217842
ALDH1L1-AS1,221.0860896,-1.315750137,0.427797843,0.000320067,0.001791862
ALDH1L1-AS2,141.8063694,-1.114108749,0.437951444,0.001911288,0.007683899
UROC1,708.5469521,-1.030229858,0.472459017,0.005288876,0.017534096
C3orf22,34.06410763,1.141797532,0.297032806,1.48E-05,0.000144608
MCM2,151.7201242,1.970921023,0.356300397,1.48E-09,6.46E-08
LOC107986126,34.40667073,1.919554854,0.376427371,1.81E-08,5.55E-07
SNORA7B,41.44619588,-1.110254551,0.183533393,2.98E-10,1.61E-08
RHO,3.8077254,4.272306989,0.925358552,1.08E-05,0.000111735
TMCC1-DT,23.98036759,1.418502006,0.318900685,7.66E-07,1.24E-05
COL6A6,63.98151139,-1.067870595,0.215587612,1.57E-07,3.35E-06
CPNE4,2.676445904,2.206307239,0.940989262,0.000848147,0.003980863
SLCO2A1,96.69257878,1.185892402,0.401907734,0.000298321,0.001690141
LOC102724019,29.49612677,-1.440658045,0.475798288,0.000331055,0.001838606
LOC105374127,18.65387997,1.845726713,0.459498153,3.15E-06,4.01E-05
LOC105374128,41.8907453,1.406671074,0.38638283,2.01E-05,0.000185204
RBP2,13.79854895,1.73954767,0.305374839,0.006532695,0.020780438
SPSB4,20.15335457,-1.947220011,0.378645123,3.23E-08,9.12E-07
AGTR1,812.9538512,-1.030708368,0.279242722,4.96E-05,0.000393616
LOC105374151,14.71139937,1.26214935,0.455012339,0.000476702,0.002485743
P2RY13,94.07012583,-1.334729552,0.299038828,1.34E-06,1.98E-05
P2RY12,34.39540274,-1.223438751,0.394757112,0.000321309,0.001797209
LINC02006,10.4912086,1.145576918,0.360102783,0.000185034,0.00114441
ARHGEF26-AS1,9.940923663,-1.136216589,0.293814521,2.01E-05,0.000185114
ARHGEF26,1139.075739,-1.269188538,0.225364762,3.16E-09,1.25E-07
LOC105374167,125.6040941,-1.091088839,0.239825513,1.14E-06,1.74E-05
MME,599.2078644,-1.134605614,0.63440459,0.010379891,0.030256996
PLCH1,21.23952344,1.120547136,0.461111394,0.001512565,0.0063584
VEPH1,63.72428695,1.084821923,0.481565816,0.00233607,0.00900133
SHOX2,1.858814946,4.252765935,0.948580034,0.000597869,0.002997037
SMC4,1034.245236,1.208980153,0.219137079,3.91E-09,1.49E-07
TRIM59,56.9967234,1.975344852,0.34853779,7.37E-10,3.54E-08
LOC105374191,7.726105743,1.059048291,0.625731626,0.008111915,0.024804632
SLITRK3,48.09337612,-6.801886808,0.702587019,1.50E-22,1.98E-19
BCHE,1140.547845,-1.648738964,0.406872389,6.90E-06,7.75E-05
SERPINI1,56.75173264,1.127010045,0.434192711,0.000934887,0.004300409
LRRC77P,9.085807582,2.785380373,0.711428089,2.98E-06,3.82E-05
EGFEM1P,50.37656993,3.996620113,0.768528637,3.39E-09,1.32E-07
LOC105374200,20.4101131,3.799378461,0.801379422,5.03E-08,1.31E-06
LINC02082,4.979333249,4.751522879,1.452354093,1.68E-05,0.000159739
MECOM,170.8701489,1.230469072,0.314443945,9.06E-06,9.69E-05
MECOM-AS1,2.608918261,1.111077887,0.92094872,0.013818703,0.037998783
ACTRT3,21.97939834,-1.032711709,0.252741183,9.27E-06,9.85E-05
LRRIQ4,4.080367681,1.092117789,0.520289446,0.00415991,0.014447123
LRRC31,128.8177921,1.155111397,0.408008377,0.00044964,0.002371741
SLC7A14,8.421378133,1.320656675,0.58105313,0.001668477,0.006874096
EIF5A2,134.3653653,1.33849996,0.364314538,1.95E-05,0.000180559
ECT2,337.1563686,2.476281252,0.330249998,2.52E-15,5.02E-13
LINC00501,2.400690543,1.620016704,0.95948215,0.003825588,0.013497138
LINC00578,5.349425768,3.252357773,0.914708584,1.67E-05,0.000159352
LOC101928711,1.581309865,3.509166103,1.854464024,0.004177779,0.014491129
LOC105374235,8.400787628,1.885588415,0.614930783,0.00010352,0.000719538
KCNMB2-AS1,21.65566179,2.107271852,0.442137124,1.06E-07,2.44E-06
KCNMB2,19.34444184,1.384480504,0.36047893,1.10E-05,0.000112953
SOX2,4.513744232,1.167925296,1.646973769,0.009868507,0.029070271
LAMP3,26.04899668,1.41290358,0.388494668,2.26E-05,0.000202806
MCF2L2,45.10320085,1.565200442,0.297322483,1.08E-08,3.61E-07
B3GNT5,195.724009,1.512574661,0.39156123,7.15E-06,7.97E-05
LOC107986160,32.3863141,2.593125051,0.468900566,1.24E-09,5.53E-08
LOC107986161,4.962953924,2.41584927,0.617414617,5.55E-06,6.47E-05
CAMK2N2,9.19740976,1.219699581,0.463054207,0.000813112,0.003851814
IGF2BP2,296.8611133,2.253845056,0.445578749,1.48E-08,4.70E-07
IGF2BP2-AS1,19.93004691,2.070928476,0.614775896,2.71E-05,0.000238082
NMRAL2P,38.87106072,4.249540341,0.588225995,2.19E-14,3.42E-12
RFC4,137.229112,1.428948618,0.290705602,7.10E-08,1.74E-06
RPL39L,21.35840955,1.878888506,0.467793836,2.90E-06,3.75E-05
MASP1,2948.320317,-1.005974688,0.298863943,0.000169974,0.001068119
LINC02041,3.83926169,2.358082659,1.158193954,0.001124,0.005005041
LOC105374263,1.484777513,3.269669544,1.84395023,0.004595715,0.015638144
LOC105374264,6.711219454,6.020747869,1.83075162,1.97E-05,0.000182389
P3H2,89.62354836,-1.039545461,0.247115093,5.71E-06,6.64E-05
IL1RAP,2067.396251,-1.261207874,0.255205703,1.38E-07,3.00E-06
OSTN-AS1,5.100783609,1.035368243,0.577229704,0.007331849,0.022819494
LOC105374284,1.822224943,2.163650308,1.324601874,0.003587542,0.012821336
LINC02038,27.2391741,1.880179613,0.781108611,0.000495912,0.002567245
LOC105374287,4.400544765,1.421645002,0.682690739,0.002339062,0.009011475
LINC02026,2.297679822,1.149464959,0.786015064,0.011117976,0.031984895
DPPA2P3,4.066506371,2.474398929,0.692332014,2.08E-05,0.000190045
LINC00887,3.459449673,1.087208876,0.980715352,0.013582932,0.037474224
LRRC15,13.77132675,1.265461943,0.686516529,0.003795095,0.01340086
TM4SF19-DYNLT2B,9.852155707,1.409677312,0.380095845,2.03E-05,0.000186357
LOC107986031,4.852212966,1.725842876,0.470521511,2.24E-05,0.000201845
TM4SF19-AS1,7.924833612,1.969461015,0.488261717,3.66E-06,4.53E-05
TM4SF19,6.953011466,1.566053158,0.500038529,0.000130446,0.000867518
LINC02012,21.69100642,1.147964596,0.499527146,0.001897391,0.007648084
LOC112268458,68.98563864,1.122099214,0.248823285,8.57E-07,1.37E-05
LOC105379426,79.13075849,1.343583916,0.313312235,1.59E-06,2.29E-05
LOC101928669,101.7260172,1.243592827,0.289623876,1.82E-06,2.56E-05
LOC101059949,13.53614662,1.55308589,0.372272802,2.50E-06,3.32E-05
LOC107987361,28.12442917,1.299621824,0.346540185,1.68E-05,0.000159655
LOC107986244,4.575091989,1.257376659,0.402660964,0.000246148,0.00144738
LOC105374346,1.942080789,1.134325475,0.865724445,0.013411396,0.0370869
TACC3,101.6112068,1.241622108,0.276380505,7.47E-07,1.22E-05
LOC112268460,20.50216185,1.254785723,0.300558401,3.39E-06,4.27E-05
NAT8L,5.919644254,2.756548645,0.996517347,0.006022694,0.019524734
HGFAC,393.3291834,-1.605673657,0.482659304,0.000113978,0.000777578
LINC02600,6.971991363,1.465612557,0.967682893,0.004441629,0.01519244
ADRA2C,7.296091452,1.22680643,0.837676908,0.007177737,0.022431659
CYTL1,4.148630502,2.142484424,0.736630634,0.00020835,0.001261564
STK32B,13.45027831,1.270625535,0.46730508,0.000567434,0.002869997
LOC105374362,3.201689349,1.411475635,0.712965796,0.003380736,0.012235602
LINC01587,5.606792289,1.006101105,0.721846153,0.013392103,0.037049024
CRMP1,35.93356824,1.150240527,0.405976572,0.000466652,0.002443844
PPP2R2C,9.898028274,3.978559727,1.289890047,2.52E-05,0.000223589
S100P,90.64154613,3.825075649,0.6472234,1.77E-06,2.50E-05
AFAP1-AS1,48.96255455,2.368336289,0.46806273,4.26E-06,5.18E-05
AFAP1,220.636446,1.236894451,0.305787792,5.48E-06,6.38E-05
HTRA3,38.35029887,1.256978268,0.539569346,0.001393984,0.005957732
LOC105374488,2.764855977,6.672684513,2.571837204,1.27E-06,1.90E-05
LOC107986178,7.093550501,1.504522005,0.467512962,0.000110286,0.000756504
LOC101929048,3.047254607,2.137325759,0.877136719,0.00061856,0.003087509
LOC107986182,3.773315887,1.71751829,0.669596917,0.000666927,0.003282567
FGFBP2,5.785435782,-1.580629764,0.524206398,0.00029656,0.00168309
NCAPG,201.0966524,2.644243884,0.353587707,2.50E-15,5.02E-13
LINC02438,3.344290882,6.73899462,2.83808121,0.000198438,0.001213847
LOC105374511,3.236693943,6.751058838,2.772902906,9.08E-05,0.000648076
ADGRA3,2276.580187,-1.138792973,0.260074787,2.40E-06,3.21E-05
GBA3,910.0397286,-1.622796137,0.417583429,1.37E-05,0.000135841
LOC105374557,4.047680234,1.261155248,1.151224053,0.009134554,0.027286219
LOC107986221,1.62690797,5.615592981,1.882970015,0.011801101,0.033489395
LINC02616,4.318904431,6.56187839,1.875119605,0.000334413,0.001853035
NWD2,25.11534803,1.832326182,0.653801993,0.000185807,0.001148339
UCHL1,31.12795238,3.043616254,0.666749496,1.23E-07,2.72E-06
LOC105374438,2.260221588,3.74032752,1.087809959,2.16E-06,2.94E-05
LINC02475,6.993732637,8.37499835,2.71630798,6.33E-12,5.52E-10
GABRA2,26.00387688,4.384484146,1.427635318,2.01E-05,0.000185178
COX7B2,14.24286294,6.856917686,2.133204298,1.80E-05,0.00016947
LOC105374444,3.877633861,1.23665779,0.601653006,0.003584874,0.012816955
NIPAL1,352.3452155,-1.170954572,0.234518547,1.18E-07,2.63E-06
CWH43,1.970789376,-2.118378684,1.020657975,0.0028003,0.010459235
LOC101927209,4.686215382,3.95868586,0.986916893,5.62E-07,9.58E-06
ERVMER34-1,5.090210505,1.466846329,0.867114528,0.003925391,0.013764473
LOC101928760,2.679383951,1.058182669,0.687995171,0.012194127,0.034352199
LINC02232,7.604858612,5.471758706,1.421027554,4.73E-05,0.000379007
LINC02835,13.58688642,9.303330743,3.012252755,3.83E-08,1.05E-06
LOC105377261,43.45138498,6.380637951,0.799479271,2.93E-17,1.02E-14
LOC105377265,41.27338455,2.262260149,0.533705074,7.82E-07,1.26E-05
UGT2B7,6292.549854,-1.566093889,0.364618873,2.48E-06,3.29E-05
LOC105377267,216.0614885,1.868320169,0.37138285,2.44E-08,7.10E-07
UGT2B11,351.6241615,2.671857574,0.434342151,2.16E-11,1.61E-09
FDCSP,2.804261315,9.625904817,1.729495261,0.000793933,0.003783017
GC,34604.77524,-1.16391922,0.242190745,2.20E-07,4.40E-06
ALB,1110653.219,-1.176780319,0.326656093,3.77E-07,6.87E-06
AFP,596.1225582,4.791642865,0.788961784,6.15E-07,1.04E-05
PPBP,9.356734155,-2.940908553,0.547514271,8.82E-09,3.03E-07
CXCL2,1445.480353,-1.592574394,0.331796403,2.30E-07,4.55E-06
MTHFD2L,481.7164348,-1.166313928,0.188497562,1.27E-10,7.71E-09
NAAA,283.9223698,-1.140885361,0.15282444,1.75E-14,2.83E-12
CXCL9,381.3139435,1.84044402,0.532032748,2.33E-05,0.000208875
CXCL10,383.6448569,2.017847612,0.478316898,1.00E-06,1.56E-05
CXCL11,38.09019784,1.778052248,0.486399899,1.22E-05,0.000123111
LOC105377286,75.32073008,-1.801281081,0.311479523,9.88E-10,4.54E-08
LOC105377296,7.785892835,-1.211461901,0.510258998,0.002526024,0.009619516
FRAS1,538.3269681,2.008016006,0.586226239,2.10E-05,0.000191367
LOC107986293,45.22942583,2.612368162,0.661740556,1.78E-06,2.51E-05
LINC01094,22.88821826,1.050298165,0.38863331,0.000850158,0.003986573
NAA11,10.94209796,1.79249676,1.023496551,0.001989532,0.007941671
RASGEF1B,890.0866387,-1.15348016,0.2047308,3.61E-09,1.40E-07
PLAC8,151.9247555,-1.513932337,0.322456965,4.00E-07,7.23E-06
CDS1,72.88285834,1.239230973,0.463754557,0.000600056,0.003005913
HSD17B13,3591.589902,-2.372576625,0.534505634,1.11E-06,1.71E-05
DSPP,13.47620563,5.48793104,1.140046729,6.95E-09,2.46E-07
DMP1,16.98794498,5.339921945,1.029747402,2.84E-09,1.14E-07
LOC105377323,4.269230164,4.404714114,1.543516911,9.05E-05,0.000646526
IBSP,5.006310435,4.006322975,1.093263154,3.52E-06,4.39E-05
MEPE,4.949043362,1.922174105,0.826506295,0.000784834,0.003743924
SPP1,2831.621907,3.213627268,0.523323153,1.93E-11,1.47E-09
ABCG2,398.5438852,-1.170676768,0.263496159,1.70E-06,2.43E-05
PPM1K,287.00915,-1.060109176,0.194691953,1.18E-08,3.90E-07
LOC105377329,24.89745197,3.804164727,0.778162709,2.11E-08,6.32E-07
MMRN1,317.7954953,-1.040297061,0.44993387,0.003850042,0.013566248
LOC112268468,2.299375318,2.435113054,1.28380709,0.001230659,0.005380674
STPG2,15.12864321,-1.088417622,0.219844228,1.45E-07,3.13E-06
LOC100507053,1314.048901,-1.549459722,0.397846665,1.38E-05,0.000136914
ADH4,15040.25926,-1.691285072,0.620958612,0.000625648,0.003116688
ADH6,2784.027255,-1.731998609,0.35546183,1.51E-07,3.23E-06
ADH1A,6755.675961,-1.463815571,0.451995495,0.000171805,0.001078004
ADH1B,37033.61273,-1.930553973,0.459684047,3.35E-06,4.22E-05
ADH1C,10205.09202,-1.487222135,0.469218349,0.000202629,0.001235269
LOC102723576,46.45533619,-1.117132589,0.428608037,0.001591655,0.006622089
CENPE,223.4293814,2.471743565,0.317944192,2.65E-16,6.85E-14
LINC02428,125.5023454,-1.505288558,0.398654877,2.27E-05,0.000204041
LOC105377351,2.61170243,-5.083446661,1.056027415,2.08E-07,4.19E-06
LOC107986190,13.86171502,1.382828178,0.297202226,3.84E-07,6.98E-06
NPNT,222.9289469,1.136872675,0.472147222,0.001436818,0.006104408
DKK2,6.973784981,1.377995489,0.593973656,0.001420481,0.006045234
SGMS2,768.1198196,-1.202937918,0.238868023,9.15E-08,2.15E-06
CYP2U1-AS1,81.57866216,-1.762402392,0.303926491,9.25E-10,4.31E-08
LOC107986298,96.10013586,-1.146136242,0.219298093,3.46E-08,9.68E-07
LEF1,47.21949932,2.213515508,0.374761818,1.66E-10,9.69E-09
LEF1-AS1,3.11494324,1.640476199,0.626504123,0.000691657,0.003381076
COL25A1,85.74299152,-2.128467341,0.407733158,2.28E-08,6.72E-07
CFI,6493.139344,-1.004014643,0.258996766,2.42E-05,0.000215837
EGF,11.90486736,2.809334842,0.971990352,8.16E-05,0.000594542
ANK2-AS1,3.507846355,1.851428021,0.999130593,0.002344035,0.009022324
LOC107986235,5.597855962,4.051389443,1.170805053,6.22E-06,7.10E-05
LOC105377378,4.170458544,5.360252664,1.650296165,1.79E-05,0.000168164
LOC105377379,4.439006246,7.312906311,2.842917505,2.79E-05,0.000243918
LOC105377380,4.705159186,7.390413818,2.875829686,3.36E-05,0.000285182
UGT8,10.49874727,1.649811065,0.65336885,0.000545923,0.002780359
LOC105377382,1.622432169,1.904501087,1.861269477,0.007263442,0.022642611
TRAM1L1,7.368988087,2.417078608,0.711799923,2.72E-05,0.000239205
LOC102723914,16.82897822,-1.980606665,0.424222865,3.60E-07,6.61E-06
NDST3,95.26843931,-1.966709833,0.369338825,1.32E-08,4.30E-07
LOC107986307,8.552402639,-1.740254742,0.29590484,4.57E-10,2.32E-08
MAD2L1,84.98439671,1.974584374,0.304272794,4.62E-12,4.12E-10
CCNA2,111.602314,2.111672417,0.281511818,3.12E-15,6.02E-13
IL21-AS1,1.998175943,1.823700199,1.050339619,0.003437839,0.012395782
LINC01091,20.74728099,1.042484516,0.388807067,0.000925679,0.004269694
PLK4,60.00276784,1.835147088,0.2946265,2.77E-11,2.04E-09
LINC02466,9.513048696,8.693903449,2.949609402,2.68E-07,5.19E-06
LINC02465,6.571232026,2.967509908,1.156663983,0.000193789,0.001189178
PABPC4L,28.10594459,1.265891957,0.325564875,1.00E-05,0.000105024
SLC7A11-AS1,12.76126602,2.238416983,0.549214284,2.09E-06,2.88E-05
SLC7A11,91.67552682,2.623951521,0.493015317,3.06E-09,1.22E-07
LOC105377451,2.573296997,1.335420622,1.072912828,0.009262505,0.027586323
LOC105377622,6.283936895,1.707120425,0.61301484,0.000291162,0.001659352
CLGN,127.5482501,1.540629106,0.513910826,0.000144408,0.000939701
REELD1,4.271753914,-1.615698327,0.384905111,3.26E-06,4.13E-05
LOC105377478,3.863752294,1.706844224,0.767580778,0.001402471,0.005983985
IQCM,1.765357801,2.729734684,1.099451871,0.007347569,0.022857079
FHDC1,16.97041435,1.202023231,0.37499776,0.000147681,0.000958019
MND1,18.89193791,2.406263384,0.345482525,2.31E-13,2.85E-11
FGB,157550.756,-1.149318293,0.346368828,0.000124941,0.00083914
FGA,199759.5768,-1.135319755,0.317621647,2.34E-05,0.000209402
FGG,120599.6728,-1.042419363,0.320457339,8.62E-05,0.00062101
LRAT,77.64357426,-1.421272667,0.440675383,0.000179629,0.001116488
ASIC5,21.08508565,2.387929996,0.477450474,2.19E-08,6.49E-07
LOC105377507,64.4986563,2.532458447,0.442404596,3.36E-10,1.79E-08
GRIA2,4.589402321,2.637431569,0.789898788,0.000851609,0.00399189
LOC112268471,6.605627245,2.559069092,0.874262116,0.000103391,0.000719037
LOC107986238,5.27471978,1.753798706,0.968661169,0.002205991,0.008596477
LINC02433,14.35065653,2.832890371,0.691561571,1.26E-06,1.89E-05
C4orf46,57.51703446,1.05291064,0.220886846,2.89E-07,5.49E-06
ETFDH,1523.124157,-1.052322008,0.268271046,1.90E-05,0.000176746
FNIP2,2028.087007,-1.057721108,0.162127422,1.59E-11,1.25E-09
LOC107986324,8.984521525,8.662612042,2.876561623,2.34E-08,6.87E-07
LINC02233,2.585988065,6.172950226,2.854510768,0.00097752,0.004470191
LOC107986239,4.309014522,5.187891048,1.794546018,9.03E-05,0.000645992
LINC02477,3.235667622,4.668833122,1.86710299,0.000476314,0.002484756
NPY1R,150.0358981,-1.272081902,0.388895889,0.000173921,0.001088285
SMIM31,12.60946692,3.487868963,0.935933284,4.32E-06,5.24E-05
CPE,528.7482044,1.495104684,0.346725397,1.11E-06,1.71E-05
SPOCK3,7.943523893,-1.287035038,0.730917164,0.008683085,0.026224839
ANXA10,253.6186601,-2.035712422,0.346281563,5.49E-10,2.73E-08
LINC02275,11.34503845,-2.020141927,0.567997064,4.13E-05,0.000338763
MFAP3L,819.1742309,-1.174892981,0.372344828,0.000283614,0.001625499
AADAT,244.9239075,-1.542407355,0.307461108,7.86E-08,1.90E-06
LOC107986326,23.0830598,-1.357980187,0.295930239,6.85E-07,1.13E-05
LINC01612,22.27414085,-1.490506263,0.659185908,0.002695031,0.010138489
LINC02512,2.714645656,-1.136808055,0.720292008,0.013358334,0.036988228
HPGD,1396.327033,-1.260742381,0.364165814,8.88E-05,0.000637028
GPM6A,152.0386385,-1.50886878,0.486695213,0.000257537,0.001500376
NEIL3,25.28857115,2.665108624,0.391949772,5.37E-13,6.02E-11
LOC105377558,3.942569539,4.699359819,1.059163454,1.23E-09,5.52E-08
TENM3,19.76223377,-1.74404779,0.596131788,0.000397068,0.002135284
LOC105377576,108.0620002,-1.05733288,0.212129212,1.39E-07,3.03E-06
LOC105377579,5.425034125,-1.413102586,0.687483822,0.004284129,0.014784399
LINC02365,21.56405624,4.563584016,0.753466443,4.15E-11,2.89E-09
CENPU,115.5982282,1.689417443,0.253549695,1.78E-12,1.76E-10
MIR3945HG,6.269986363,-1.429876115,0.331364437,2.04E-06,2.83E-05
LINC01093,233.9185103,-2.206413643,0.567596092,1.21E-05,0.00012229
KLKB1,1838.845024,-1.306979249,0.305051751,3.11E-06,3.97E-05
F11,2637.472431,-1.013241007,0.331989175,0.00048078,0.002502849
F11-AS1,283.4943876,-1.186429935,0.316322785,3.25E-05,0.000276814
FAT1,7196.649842,1.404077761,0.271947652,2.00E-08,6.02E-07
ANKRD20A12P,13.66435071,1.42337076,0.409189427,4.26E-05,0.000347596
PLEKHG4B,16.48276174,1.073518883,0.632273601,0.00696751,0.021897389
TRIP13,51.55966376,3.528008971,0.463210697,8.62E-16,2.05E-13
LINC02982,14.77483229,1.448497804,0.558144868,0.000549114,0.002790838
TERT,40.66619616,9.702572334,1.585423557,9.21E-15,1.63E-12
ADAMTS16-DT,4.413323521,5.482127391,1.616243106,7.18E-06,8.00E-05
ADAMTS16,44.7279855,3.002163261,0.654900726,1.06E-07,2.44E-06
LINC01018,650.4506669,-1.476993495,0.50133199,0.000427488,0.002273531
CMBL,1462.103275,-1.129086278,0.297602618,2.92E-05,0.000252746
CTNND2,110.4170441,2.726812454,0.709729934,2.64E-06,3.47E-05
RETREG1,665.1116641,-1.934749033,0.435210131,1.12E-06,1.72E-05
BASP1,94.90806614,-1.089786394,0.279084195,1.95E-05,0.000180916
LINC02241,10.73164002,4.834527759,1.314991581,1.10E-06,1.69E-05
CDH12,4.503505437,3.810862505,0.798668733,0.001102619,0.004921187
LOC107986345,4.596812263,1.344280227,0.44921782,0.000305639,0.001723777
PURPL,47.30097196,1.399744893,0.62566708,0.001305136,0.005644241
LOC101929645,9.164043049,5.692368676,1.629604476,0.00012712,0.000849229
LINC02109,4.535885637,5.434583074,1.883645775,0.001181011,0.005207157
CDH6,282.6915743,1.653204999,0.440067973,9.03E-06,9.66E-05
LOC105374709,11.86778209,1.301732058,0.640687964,0.002564388,0.009750019
LINC02160,6.776554198,-1.018970145,0.656139037,0.017055003,0.044956837
TTC23L-AS1,6.305618732,1.219672133,0.325694355,2.75E-05,0.000241485
AGXT2,579.448563,-1.36790351,0.355617565,1.88E-05,0.000175798
SPEF2,164.5905633,1.129020122,0.194545557,9.74E-10,4.48E-08
RANBP3L,181.8615137,-2.158488041,0.372469467,8.91E-10,4.18E-08
EGFLAM,49.49197241,-1.322724167,0.270813119,1.75E-07,3.66E-06
LIFR,2414.135631,-1.396506782,0.365900966,2.08E-05,0.000190045
C9,11181.69682,-1.541282076,0.471235973,0.000138497,0.000909138
LOC105374739,388.6534578,-1.612377687,0.357958443,9.42E-07,1.48E-05
C6,9107.784414,-1.486777644,0.367985459,7.56E-06,8.34E-05
GHR,2643.770838,-1.373789815,0.335485572,6.72E-06,7.57E-05
LOC105374748,15.30042259,1.455809066,0.323996513,6.89E-07,1.14E-05
ANXA2R-AS1,45.42138399,1.190501446,0.233513293,4.44E-08,1.18E-06
C5orf34,58.44863347,1.302123268,0.21769306,2.44E-10,1.36E-08
FGF10,9.959614726,-2.649613119,0.749528727,4.49E-05,0.000362845
ITGA2,378.6643014,1.729386622,0.429313218,2.81E-06,3.66E-05
ESM1,50.38982222,3.728116497,0.544993457,1.77E-13,2.31E-11
CDC20B,5.013077587,3.41891567,1.279499993,0.000109116,0.000750119
IL6ST-DT,8.01524197,1.114754483,0.437206949,0.001284338,0.00556783
LINC01948,8.809721384,2.13594747,0.464592485,2.71E-07,5.24E-06
LOC107986350,14.43220285,2.144145218,0.528082706,2.46E-06,3.27E-05
PART1,9.08708142,2.520077975,0.628482627,2.83E-06,3.67E-05
DEPDC1B,101.6055643,3.678214862,0.426399667,1.55E-19,9.95E-17
ELOVL7,153.6770897,2.18522757,0.437340517,2.11E-08,6.32E-07
C5orf64,9.366850716,2.964726445,0.598160397,3.52E-08,9.81E-07
LOC101928651,3.1522143,3.791017094,0.961769191,3.36E-07,6.25E-06
ADAMTS6,82.48785413,1.709399444,0.348648176,5.53E-08,1.42E-06
CENPK,74.25012892,2.545688762,0.332571315,7.74E-16,1.87E-13
LOC105379003,5.198782569,1.029904689,0.375501,0.001015394,0.004608177
LOC101928819,14.65348869,3.187583134,0.689525472,1.13E-07,2.55E-06
LINC02242,3.636255269,1.415330834,0.779816913,0.003998212,0.013974529
LOC105379005,57.30619756,2.071025675,0.58083759,1.25E-05,0.000125661
LOC105379013,159.8763871,-1.550217826,0.538426483,0.000500517,0.002587697
LOC105379012,182.8967662,-1.344659546,0.55638425,0.002084153,0.008225161
LOC105379011,362.2026067,-1.402177896,0.559829093,0.001586631,0.006605565
LOC105379010,180.2009768,-1.053862843,0.564423401,0.009858835,0.029065331
CCNB1,158.8919036,3.030962212,0.350223397,1.50E-19,9.89E-17
CENPH,36.10605333,1.726721535,0.308881591,1.51E-09,6.56E-08
LOC112267941,213.0806517,1.147554492,0.202174312,1.78E-09,7.62E-08
LOC107986355,13.63208084,1.015377245,0.375733156,0.000955489,0.004381644
LOC105379016,25.29318343,1.001668046,0.234500451,3.43E-06,4.30E-05
LOC105379039,3.19862129,1.216229108,0.890950675,0.009795118,0.028928803
