,baseMean,log2FoldChange,lfcSE,pvalue,padj
NALF1-IT1,7.404124176,1.835019243,0.582324635,8.97E-05,0.000641997
LOC107984581,48.41923597,1.816184368,0.46539386,4.44E-06,5.37E-05
LOC112268111,3.082424224,1.909672686,0.807332703,0.000923321,0.004261954
COL4A1,4543.332556,1.661786657,0.330184012,4.36E-08,1.16E-06
COL4A2,2513.925521,1.490492306,0.343283868,9.98E-07,1.56E-05
COL4A2-AS2,59.10429201,1.35361799,0.364720627,1.67E-05,0.000158858
COL4A2-AS1,50.13060836,1.095949084,0.338879586,0.000145552,0.000946406
LOC105370370,2.953235602,-1.777286925,0.74593199,0.001580399,0.006587272
PROZ,247.6787675,-1.417831283,0.328293771,2.45E-06,3.26E-05
TMCO3,468.6430712,1.027045674,0.226023408,8.40E-07,1.34E-05
DUXAP9,142.5105723,3.88576352,0.448261852,9.61E-20,7.08E-17
BMS1P18,25.73776881,3.960446612,0.52487887,1.82E-15,3.73E-13
LNCRNA-ATB,10.95225469,3.5855719,0.767086176,9.52E-08,2.23E-06
DUXAP10,90.30484209,3.794285449,0.461036368,4.34E-18,1.94E-15
BMS1P17,25.42586585,3.923475322,0.53221319,6.07E-15,1.10E-12
TRP-AGG2-6,2.446737146,-4.142368407,1.031765442,0.002205766,0.008596477
ANG,4033.001533,-1.306673226,0.316573462,6.12E-06,7.02E-05
NDRG2,1815.824616,-1.436338266,0.233295654,1.22E-10,7.48E-09
MIR6717,83.01737282,-1.504610214,0.247985475,1.98E-10,1.13E-08
TPPP2,42.53562869,-1.309345123,0.296398793,1.65E-06,2.37E-05
TMEM253,13.0731264,1.230027664,0.311559175,9.35E-06,9.92E-05
SALL2,47.32672936,1.422598414,0.545495986,0.000523993,0.00269041
MMP14,559.2238607,1.019716415,0.274207956,2.90E-05,0.000251359
CDH24,19.67946753,1.188489631,0.277084716,2.35E-06,3.15E-05
LOC105370412,7.24294671,-2.012530294,0.397096478,4.16E-08,1.12E-06
FITM1,12.549343,-2.066992156,0.351341073,4.26E-10,2.17E-08
DHRS1,424.1027791,-1.22480559,0.255461102,3.04E-07,5.73E-06
CIDEB,564.5975845,-1.142915428,0.211788252,1.40E-08,4.51E-07
GZMH,23.79209333,-1.008251172,0.336911596,0.000586411,0.002949333
STXBP6,151.1215781,1.237682868,0.275593503,7.41E-07,1.21E-05
NOVA1-DT,5.868451661,5.673116166,1.809052528,2.72E-05,0.000238875
MIR4307HG,5.908963562,5.256497883,1.277777718,6.68E-06,7.53E-05
LOC105370419,6.777474829,9.063570436,3.066940403,1.93E-05,0.000179013
LOC105370421,5.304375976,6.212061366,1.433302559,1.76E-05,0.000166464
MIR3171HG,8.809941469,6.3829663,1.697270187,5.55E-07,9.51E-06
LINC00645,57.76317768,7.071013806,1.210640372,3.48E-11,2.49E-09
LINC02327,10.78271436,3.076742016,1.536837901,0.00049696,0.002572136
LOC112267868,9.104312855,4.851760408,1.759045226,6.78E-05,0.000507755
COCH,60.60096721,1.540084448,0.440124197,2.79E-05,0.000244235
LOC100506071,34.8164817,1.39213924,0.418950462,6.44E-05,0.000486057
EGLN3,111.5187981,1.803340789,0.468689493,5.44E-06,6.36E-05
LOC102724945,4.910451391,1.660673411,0.6748235,0.00077347,0.003697448
SSTR1,55.14739154,-1.123720288,0.42307899,0.001382459,0.005913511
LOC105370463,2.076932754,3.232455267,1.511530822,0.001166964,0.005155459
LINC02315,8.231343677,1.208714779,1.147134581,0.008839606,0.026597434
LOC107984701,3.846636926,1.433411761,0.738074838,0.003141259,0.011509998
RPS29,23017.91296,-1.83129955,0.356837004,3.84E-08,1.05E-06
LOC107987206,497406.9773,-1.204322077,0.211607736,2.45E-09,1.00E-07
RN7SL1,497405.3649,-1.204324704,0.211609404,2.45E-09,1.00E-07
RN7SL3,43785.07478,-1.055958615,0.256907692,8.63E-06,9.29E-05
LOC105378179,405334.5336,-1.210488428,0.203965042,5.71E-10,2.82E-08
RN7SL2,405313.1451,-1.210562723,0.203987147,5.72E-10,2.82E-08
PTGER2,30.22570953,-1.147744178,0.335832211,0.000116662,0.000790944
GPR137C,61.2107075,1.393426245,0.332091352,2.16E-06,2.94E-05
LOC112268134,15.24679849,2.1916742,0.364632969,1.29E-10,7.79E-09
LOC105370504,125.6913834,2.127036922,0.326752221,3.36E-12,3.11E-10
LINC02331,43.82031755,1.778115537,0.467473241,6.87E-06,7.72E-05
BMP4,37.27478694,1.090516776,0.341826444,0.000173894,0.001088285
CDKN3,59.04092519,2.047668513,0.340107551,8.63E-11,5.56E-09
GCH1,983.840593,-1.039073903,0.282855456,5.23E-05,0.000409943
WDHD1,122.1418279,1.691559659,0.272007396,3.22E-11,2.33E-09
DLGAP5,96.11966703,3.718839218,0.407431966,1.76E-21,1.92E-18
LOC102723670,5.508927051,2.0808801,1.016522825,0.001080508,0.004850392
SIX1,5.585103208,5.785254664,1.611855833,1.56E-06,2.25E-05
SIX4,19.8974133,2.389260633,0.565923346,8.88E-07,1.41E-05
LOC101927756,29.12643528,1.075750287,0.201098245,1.49E-08,4.71E-07
GPX2,1006.892372,1.303198089,0.400467845,9.18E-05,0.000654522
LINC02290,8.914485608,-1.162471319,0.363783099,0.000229525,0.001362809
CCDC196,58.24685357,-1.0713952,0.26853439,1.39E-05,0.000137794
LOC105370546,16.03133637,1.120884773,0.290743532,0.009283639,0.027633446
CCDC177,31.62572569,1.183603288,0.863665613,0.0075892,0.023454638
SLC10A1,1613.221571,-1.168685745,0.420738054,0.000933757,0.004297476
SMOC1,789.706457,-1.104964326,0.238861891,7.87E-07,1.27E-05
SNORD169,19.7838621,-1.153650601,0.286186424,9.80E-06,0.00010288
MAP3K9-DT,6.247782795,1.725254694,0.525124737,7.24E-05,0.000537515
DPF3,61.9596584,-1.533346985,0.322784504,2.96E-07,5.62E-06
PAPLN,188.7171001,1.039555089,0.374202532,0.00067052,0.003298311
PAPLN-AS1,7.63787432,1.027319943,0.44215865,0.002687527,0.01011936
LTBP2,508.5270277,1.309903156,0.400940734,8.65E-05,0.000623284
LOC101928352,4.633935234,2.27413995,0.747947019,0.000102816,0.000715831
ZC2HC1C,82.00755172,-1.031947546,0.203332212,8.81E-08,2.08E-06
FOS,1626.661812,-2.155811566,0.422445438,4.29E-08,1.15E-06
LOC105370576,7.685642654,1.445977827,0.574133839,0.000763774,0.003657371
LOC105370577,6.091711474,1.071729712,0.453172391,0.002237357,0.008684986
LRRC74A,5.890439289,1.031326817,0.387053341,0.001225756,0.005362975
IRF2BPL,144.4739255,-1.0311663,0.148266594,8.23E-13,8.83E-11
GSTZ1,417.7669496,-1.707028929,0.279486451,1.45E-10,8.64E-09
NRXN3,60.9534224,2.158839086,0.474678077,2.08E-07,4.19E-06
LOC107984629,2.285373885,3.682855868,1.308842871,0.000156949,0.001005144
LOC105370588,7.496062459,2.987251738,0.648669714,2.86E-07,5.45E-06
LOC112268125,2.965994324,4.179542749,1.175014463,2.62E-06,3.44E-05
LOC105370583,10.90395007,2.929591413,0.642715354,1.97E-07,4.01E-06
